¿Cómo se llama el lenguaje xml de intercambio de información entre herramientas CASE?,XMI (https://en.wikipedia.org/wiki/XML_Metadata_Interchange)
¿Cuales son los elementos fundamentales del fichero pom.xml de la herramienta Maven?,Campos que indican el tipo de proyecto (jar. war o ear). las coordenadas del proyecto (artifactId.groupID y version) y las dependencias de librerias de terceros
¿En que consiste el Sprint Backlog dentro de la metodologia SCRUM?,Subconjunto de requisitos del Product Backlog que vamos a implementar en esa iteracion
¿Cual es el proposito de kubernetes dentro de una infraestructura de virtualización ligera?,Gestión de contenedores en un entorno de cluster La unidad minima de gestión es el Pod. que representa a 1 o varios contenedores con IP propia
¿En que consiste la aplicación de 2FA?,Metodo de autenticacion que consiste en utilizar 2 metodos de estas 3 categorias: * Algo que se (PIN. Password. etc) * Algo que tengo (Dongle.tarjeta claves. etc) * Algo que soy (Huella. etc)
¿Qué tipo de información se almacena en el fichero /etc/apt/sources.list?,Las url's con los catalogos de paquetes para esa version de Linux que tengamos instalada
¿Dondé se puede definir un valor de nice por defecto para un usuario?,/etc/security/limits.conf
¿Qué son y cual es el propósito de los jumboframes?,Son tramas ethernet de hasta 9000bytes de payload y sirven para incrementar el rendimiento o trafico (ej: tipico con sistemas de almacanamiento)
En el contexto del protocolo IP. ¿en que consiste APIPA?,Dirección generada automaticamente por el host cuando no hay comunicacion con el DHCP (169.254.1.0 a 169.254.254.255)
¿Cual es el objetivo del registro AAAA en el servicio de DNS?,Asociar un nombre con una dirección IPv6
¿Qué metodos fundamentales tiene la clase Object en Java?,* equals() --> metodo de comparación de objetos (es bueno sobreescribir con la logica de igual de nuestras clases) * toString() --> metodo que proporciona una representacion en forma de cadena de nuestros objetos (bueno sobreescribirlo tambien) * wait() --> para poder bloquear temporalmente hilos * notifiy() --> para despertar del bloqueo a los hilos * getClass() --> Nos da un objeto de tipo Class que obtener dinamicamente todos los metadatos de un objeto * clone() --> copia de objetos * hashCode() --> nos da un codigo hash del objeto * finalize() --> metodo que hay que sobreescribir y que será invocado por el recolector de basura cuando elimine el objeto
En el contexto de los ficheros. ¿qué es el Magic Number?,Unos primeros bytes que identifican el tipo de fichero que es (pdf. zip. jpg. ...)
Sistemas de identificacicón de los interesados en el procedimiento según la ley 39/2015,a) Sistemas basados en certificados electrónicos cualificados de firma electrónica expedidos por prestadores incluidos en la ‘‘Lista de confianza de prestadores de servicios de certificación’’. b) Sistemas basados en certificados electrónicos cualificados de sello electrónico expedidos por prestadores incluidos en la ‘‘Lista de confianza de prestadores de servicios de certificación’’. c) Sistemas de clave concertada y cualquier otro sistema. que las Administraciones consideren válido en los términos y condiciones que se establezca. siempre que cuenten con un registro previo como usuario que permita garantizar su identidad
¿En que consiste la configuración stateless en IPv6?,De los 128bits de la dirección IPv6... a) los 64bits menos significativos se generan con el algoritmo EUI-64 modificado o random b) los 64bits mas significativos se generan a partir de los mensajes ICMPv6 - RA que lanza el router
¿Cuales son los canales de notificación disponibles a traves del servicio compartido Notific@?,a) Carpeta Ciudadana b) DEH / DEHu c) Envio postal d) Sede electrónica propia
¿En que consiste la norma NTI SICRES 3.0?,Norma técnica que define el formato de intercambio de asientos registrales
¿Con que API podemos desarrollar en Java un API Rest?,Con JAX-RS. Algunas anotaciones importantes son: @Path. @GET.@POST.@PUT.@DELETE.@PathParam.@QueryParam.@Produces.@Consumes....
¿Cual es la utilidad del cmdlet Where-Object?,Es un cmd-let que utiliza como entrada los objetos .net de otro cmd-let para realizar filtrados por alguna(s) de sus propiedades
¿Para que sirve el estandar RDF y que relación tiene con SPARQL?,a) RDF es un formato de la w3c que representa en forma de tripletas (sujeto-predicado-objeto) relaciones semanticas entre los datos b) SPARQL es un lenguaje estandar de la w3c para realizar consultas sobre estas tripletas RDF
Explique brevemente la utilidad del patrón Proxy,"Su utilidad principal es interceptar en una clase que añadimos al modelo (Proxy) las llamadas que de una forma ""tradicional"" se harían sobre una clase directamente. El objetivo es separar en esta clase Proxy ciertas responsabilidades (codigo) que no queremos introducir en la clase de negocio a ""proteger"" por no mezclarlo todo"
En UML. ¿cual es el uso de los estereotipos?,Es un mecanismo de extensión de UML con el que podemos añadir semantica a ciertos elementos (relaciones. paquetes. clases. componentes. ...)
En Linux. ¿cual es la utilidad del sticky bit y como se activa?,Proteger a un fichero/directorio de su borrado frente a usuarios que no sean el propietario o root (ej. /tmp)
Interfaces principales del API JDBC,Del paquete java.sql * DriverManager (Clase que colabora con los Driver's instalados para darnos una conexion en funcion de una url) * Driver (Interface que tienen que implementar los fabricantes y especifica el metodo para conectar con la BBDD) * Connection (Interface que representa a la propia conexion en si y que nos permite crear sentencias) * Statement / PreparedStatement / CallableStatement (Interfaces para lanzar sentecias SQL y llamadas a procedures almacenados) * ResultSet (Interface que representa un objeto con los resultados de una query. Similar al concepto de cursor) Del paquete javax.sql * Datasource (Interface que representa a un pool o conjunto finito de conexiones que se puede solicitar)
Caracteristicas principales del estandar 802.11ax,a) Bandas de 2.4Ghz y 5Ghz b) Mejora en MU-MIMO (hasta 8 streams en paralelo) c) Alias WiFi6 d) Modulacion QAM 1024 (envio de 10 bits en cada transmisión) e) OFDMA o Acceso Múltiple por División de Frecuencia Ortogonal (división del espectro en 256 subcanales) f) Hasta 10Gbps g) La tecnologí­a Target Wake Time (TWT) mejora la duración de la baterí­a de smartphones h) Color BSS (evitar interferencias) https://naseros.com/2018/11/16/802-11ax-wifi-6-el-wifi-que-llegara-el-ano-que-viene/
¿De que forma(s) podemos transformar una relacion de generalización E/R en el modelo Relacional?,a) 1 sola tabla para todo (incluir atributo discriminador para saber el tipo de entidad) b) 1 tabla para el supertipo y una para cada subtipo (con referencia a la del supertipo) c) 1 tabla para cada subtipo (los atributos del supertipo estarán en todas ellas)
¿En que consiste el sistema SAT del CCN y que tipos hay?,Son unos sistemas que detectan incidentes/anomalias cuanto antes y avisan al CCN para que actue. Tenemos tres tipos: * SAT-ICS (para entornos industriales) * SAT-INET (se configura en tu DMZ) * SAT-SARA
¿Cual es el uso principal de la herramienta INES?,Introducir información de evaluación/auditoria sobre el estado de seguridad de tu sistema (segun el ENS)
¿Qué son los landmarks según la norma WAI-ARIA?,Son regiones/zonas de la pagina que se definen mediante roles (valores tipicos son main.navigation.search....)
¿Qué representa HEAD dentro de un repositorio Git?,Es un puntero hacia el ultimo commit (pero hay comandos que lo podrian desplazar por la historia)
En el contexto del protocolo TCP. ¿qué representa el MSS?,Es el tamaño maximo de segmento que se puede manejar (Este MSS se envía en el proceso 3-Way Handshake mediante la lista de Opciones)
¿Cual es el objetivo de los arboles AVL y como lo consiguen?,La finalidad es mantener el arbol equilibrado. con un factor de equilibrio entre (0.-1 o +1) Lo consiguen mediante rotaciones de los nodos cuando se detecta una posible perdida de equilibrio
¿Qué y para que sirve un numero de sistema autonomo ASN?,Numero que asigna la IANA/RIR a las redes de los distintos ISP y que nos sirve para el enrutamiento externo. es decir. con otros AS (protocol BGP)
Explica cual es la estructura y funcion del patrón de diseño Adapter,"Consiste en introducir una clase entre ""Cliente"" y ""Servicio"" para que este primero pueda utilizar los metodos que ofrece el segundo de una forma que se ajuste mas a sus necesidades El adapter tiene que implementar un interface de acuerdo a esas necesidades del Cliente pero lo implementará de acuerdo a los metodos que ofrece el Servicio"
¿Cuales son los metadatos minimos obligatorios según la NTI del documento electrónico?,Version NTI (URI) Identificador(Normalizado) Organo(DIR3) FechaCaptura(ISO 8601) Origen(0=Ciudadano.1=Administracion) EstadoElaboracion(Original.CopiaElectronicaAutentica....) NombreFormato(segun NTI Catalogo de Estandares) TipoDocumental(Resolucion.Acuerdo.Acta....) TipoFirma(CSV o segun formatos de NTI Politica de firma) -- si TipoFirma=CSV Valor CSV DefinicionGeneracionCSV(Orden o Resolucion que define la generación del CSV) -- si EstadoElaboracion=Copia electronica autentica con cambio de formato o Copia electronica parcial autentica IdentificadorDocumentoOrigen(Normalizado)
¿Cual es y donde se define el ciclo de vida de un Servlet?,Se define en el interface javax.servlet.Servlet mediante los metodos init(config). service(req.res) y destroy()
En .NET. ¿cual es el objetivo del Entity FrameWork?,Es un ORM. quiere decir que nos ofrece la funcionalidad de almacenar y recuperar objetos de una BBDD relacional sin tener que tratar con el SQL directamente
¿Para que nos sirve el comando de Linux iw?,"Configuración de interfaces wireless. Algunos usos: a) iw list (lista todos los dispositivos wireless con sus capacidades) b) iw dev wlan0 scan (escaneo de las redes disponibles a traves del interface wlan0) c) iw dev wlan0 link (estado del interface wlan0) d) iw wlan0 connect foo (conectar a la red con SSID ""foo"" si está abierta)"
Comandos mas importantes dentro del fichero Dockerfile,FROM (imagen base a partir de la cual vamos a generar la nuestra) COPY (copiar de ficheros desde el host/local a la imagen) ADD (similar a COPY pero soporta URL's y capacidades para descomprimir) RUN (se ejecuta cuando se está construyendo una imagen. tipico --> apt install ...) CMD (se ejecuta cuando el contenedor se inicia) ENTRYPOINT (establecer un ejecutable cuando arranque el contenedor) VOLUME (configurar volumenes para almacenamiento persistente) EXPOSE (indica puertos de escucha en el contenedor. pero no los publica realmente)
En que consiste el servicio comun de @firma?,Servicios Web con funcionales de firma y de validación de certificados usados por la propia administración
¿Cual es el uso del modificador transient en Java?,Le indica al sistema que ese atributo no se debe persistir/serializar cuando se guarden en disco objetos de esa clase (que tiene que implementar java.io.Serializable)
¿Qué diferencia hay entre un sistema de integración continua y uno de entrega continua?,Integracion Continua solo llega hasta los test y Entrega Continua hasta el despligue
¿Qué diferencia existe entre una plataforma PaaS y IaaS?,IaaS nos ofrece sobre todo recursos de maquina (virtual) y almacenamiento y PaaS nos ofrece plataformas de ejecucion finales (java. php. ...)
¿Qué tipo de productos tienen que ver con la filosifa IaC?,Los productos que se usan para automatizar tareas de sistemas al estilo IaC son: Ansible. Chef. Puppet. Terraform. Salt. etc
"¿En que consiste el operador ""nave espacial"" en PHP?",Es un operador de comparación que devuelve 0.-1 o 1 en funcion de si los dos valores son iguales o uno mayor que el otro
¿En que consiste la solución aportada por la herramienta Pilar?,Es una herramienta que nos da soporte para las fases de analisis y gestión de riesgos (Ej. Magerit)
¿Para que sirve un fichero con extensión VMDK?,Es un formato abierto (lo soportan por ej VMWare y VirtualBox) para la persistencia de una maquina virtual
¿Como se identifica un circuito virtual dentro de ATM?,Mediante los Identificadores VPI/VCI (tiene sentido local)
¿Cual es la utilidad del protocolo NTP?,Sincronizar relojes. Se basa en el protocolo UDP (puerto 123). Y funciona de forma jerarquica (estratos)
¿Para que nos sirve la directiva @page en CSS?,Para poder definir los estilos/formatos de la pagina cuando vamos a imprimirla
¿Qué opciones tenemos para securizar servicios web SOAP?,Con el estandar de OASIS WS-Security podemos cifrar. firmar y autenticar las peticiones SOAP (en el header concretamente)
"¿Qué propósito tiene la cabecera del protocolo Http ""Cookie""?",Es una cabecera de Request que usa el navegador para enviar todas las Cookies al servidor del dominio correspondiente
¿Cual es el mecanismo de acceso al medio en una red Token Ring?,Mediante el paso de un testigo (solo el que lo tiene puede transmitir)
